City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Brigantine,39.4101,-74.3646,-0.56,74,90,3.78,US,1615115255
Hualmay,-11.0964,-77.6139,22.01,78,98,2.92,PE,1615115350
Gull Lake,50.1001,-108.4847,-1.0,80,40,7.2,CA,1615115350
Vao,-22.6667,167.4833,24.3,75,57,5.06,NC,1615115350
Anadyr,64.75,177.4833,-25.0,77,75,2.0,RU,1615115351
Tigre,-34.426,-58.5796,20.0,100,0,2.57,AR,1615115351
Matara,5.9485,80.5353,28.52,78,59,0.58,LK,1615115351
Abu Samrah,35.3029,37.1841,17.53,29,0,4.4,SY,1615115352
Havøysund,70.9963,24.6622,-2.0,59,75,7.2,NO,1615115352
Voh,-20.9667,164.7,22.29,78,44,1.96,NC,1615115352
Ruteng,-8.6136,120.4721,18.12,100,99,0.33,ID,1615115352
Altay,47.8667,88.1167,-2.62,86,0,0.87,CN,1615115346
Cockburn Town,21.4612,-71.1419,25.6,78,3,2.38,TC,1615115353
Suratgarh,29.3167,73.9,35.67,13,54,6.42,IN,1615115353
Ayagoz,47.9714,80.4392,-3.2,91,97,0.45,KZ,1615115163
Muscat,23.6139,58.5922,27.0,57,0,5.14,OM,1615115353
Mācherla,16.4833,79.4333,37.31,13,0,2.72,IN,1615115354
Wenling,28.3669,121.36,13.89,83,92,5.12,CN,1615115354
Concordia,-31.393,-58.0209,18.31,68,0,1.77,AR,1615115242
São Félix do Xingu,-6.6447,-51.995,23.33,91,69,0.16,BR,1615115354
Balkhash,46.844,74.9804,0.0,74,0,5.0,KZ,1615115355
Port Macquarie,-31.4333,152.9167,21.67,83,90,2.06,AU,1615115214
Coos Bay,43.3665,-124.2179,5.0,93,90,5.66,US,1615115355
Zelenets,61.8849,50.7489,-14.0,85,20,1.0,RU,1615115356
Visby,57.6409,18.296,2.22,60,20,10.8,SE,1615115356
Vega de Alatorre,20.0333,-96.6333,18.87,82,93,3.3,MX,1615115356
Campo Bom,-29.6789,-51.0533,19.44,83,0,1.34,BR,1615115245
Atar,20.5169,-13.0499,22.59,32,0,8.86,MR,1615115357
Kissamos,35.4939,23.6569,19.44,88,75,3.6,GR,1615115357
South Sioux City,42.4739,-96.4136,9.0,66,1,8.23,US,1615115357
Sabana de Torres,7.3915,-73.4957,20.0,100,40,1.03,CO,1615115358
Esperance,-33.8667,121.9,20.0,73,90,5.66,AU,1615115358
Batouri,4.4333,14.3667,36.54,20,100,1.84,CM,1615115358
Lagoa,39.05,-27.9833,15.53,95,100,6.01,PT,1615115358
Samarai,-10.6167,150.6667,26.85,77,88,3.48,PG,1615115359
Honiara,-9.4333,159.95,26.01,80,100,0.6,SB,1615115359
Khandyga,62.6667,135.6,-34.06,83,54,1.36,RU,1615115359
Vestmannaeyjar,63.4427,-20.2734,4.0,93,20,5.14,IS,1615115359
Belmonte,-15.8631,-38.8828,26.0,78,20,5.66,BR,1615115360
Santa Fe,-31.6333,-60.7,20.56,75,0,0.89,AR,1615115360
Kahului,20.8947,-156.47,21.0,73,90,4.12,US,1615115315
Hambantota,6.1241,81.1185,29.34,73,79,7.15,LK,1615115360
Auki,-8.7676,160.7034,25.6,85,100,2.08,SB,1615115361
Āreka,7.0667,37.7,29.52,19,19,2.39,ET,1615115361
Tautira,-17.7333,-149.15,28.0,78,75,4.12,PF,1615115361
Hofn,64.2539,-15.2082,4.31,70,20,1.79,IS,1615115361
Nālūt,30.3333,10.85,25.18,18,0,7.53,LY,1615115361
Buala,-8.145,159.5921,26.76,78,100,2.25,SB,1615115362
Pesnica pri Mariboru,46.6069,15.6767,8.89,39,0,4.63,SI,1615115362
Yulara,-25.2406,130.9889,31.0,29,40,6.69,AU,1615115362
Cayenne,4.9333,-52.3333,24.44,94,75,5.66,GF,1615115362
Upata,8.0086,-62.3989,20.75,92,43,1.67,VE,1615115122
Coyhaique,-45.5752,-72.0662,9.0,76,20,11.32,CL,1615115363
Nyurba,63.2842,118.3319,-10.9,96,100,1.89,RU,1615115363
Half Moon Bay,37.4636,-122.4286,7.78,87,1,4.3,US,1615115363
Zdvinsk,54.7021,78.661,-8.81,95,63,2.94,RU,1615115364
Goundam,16.4145,-3.6708,36.74,9,20,3.28,ML,1615115364
Sungai Penuh,-2.0833,101.3833,18.55,95,100,0.48,ID,1615115364
Clarksville,36.5298,-87.3595,0.0,86,1,0.88,US,1615115364
Nushki,29.5542,66.0215,22.63,18,0,4.4,PK,1615115295
Novoagansk,61.9449,76.6625,-12.19,95,84,1.8,RU,1615115365
Turaif,31.6725,38.6637,21.0,28,0,3.09,SA,1615115365
Cambé,-23.2758,-51.2783,21.0,100,90,1.54,BR,1615115365
Najrān,17.4924,44.1277,26.0,22,0,2.57,SA,1615115366
Parrita,9.5201,-84.3225,18.0,63,0,7.2,CR,1615115366
Te Horo,-40.8084,175.1233,17.78,61,4,5.36,NZ,1615115366
Iranshahr,27.2025,60.6848,29.0,16,0,5.14,IR,1615115366
Payo,-3.7508,103.6372,23.96,84,87,1.14,ID,1615115367
Andenes,69.3143,16.1194,0.0,80,75,9.77,NO,1615115367
Arrondissement de Saint-Denis,48.9167,2.3333,6.11,52,0,2.57,FR,1615115111
Karaj,35.8355,51.0103,17.0,13,75,4.12,IR,1615115367
Kosh-Agach,50.0,88.6667,-9.19,83,1,0.84,RU,1615115367
Bouaflé,6.9904,-5.7442,29.0,70,40,4.12,CI,1615115368
Vilyaka,57.1846,27.6722,-1.6,82,94,7.96,LV,1615115368
San Juan Bautista,-14.0108,-75.7358,21.11,83,0,2.57,PE,1615115369
Banjar,-8.19,114.9675,27.0,83,40,1.54,ID,1615115369
Mogadishu,2.0371,45.3438,30.0,58,0,10.29,SO,1615115369
San Angelo,31.4638,-100.437,6.67,81,75,3.09,US,1615115153
Saldanha,-33.0117,17.9442,25.0,53,58,3.09,ZA,1615115370
Paiján,-7.7333,-79.3022,22.42,75,42,1.99,PE,1615115370
Pregradnoye,45.8218,41.7469,3.03,67,0,3.84,RU,1615115370
Ashquelon,31.6693,34.5715,19.0,59,20,5.14,IL,1615115370
Puri,19.8,85.85,36.0,19,8,1.54,IN,1615115371
San Cristobal,7.7669,-72.225,22.0,100,40,1.54,VE,1615115371
Daokou,35.5639,114.5058,7.72,55,29,1.9,CN,1615115371
Carlos Chagas,-17.7031,-40.7664,26.46,71,97,1.54,BR,1615115372
Baykit,61.67,96.37,-5.72,93,100,2.95,RU,1615115372
Yuncheng,35.0231,110.9928,9.5,50,96,3.69,CN,1615115372
Pisco,-13.7,-76.2167,21.11,83,0,2.57,PE,1615115372
Shimoda,34.6667,138.95,4.44,73,74,0.45,JP,1615115186
Wainwright,52.839,-110.8572,-4.0,93,0,1.54,CA,1615115373
Banda Aceh,5.5577,95.3222,27.96,76,100,2.95,ID,1615115373
Santa Rosa,14.3122,121.1114,29.0,65,20,3.09,PH,1615115374
São Geraldo do Araguaia,-6.4006,-48.555,24.04,94,100,0.33,BR,1615115374
Dakar,14.6937,-17.4441,22.0,68,0,7.2,SN,1615115294
Yangi Marg`ilon,40.4272,71.7189,12.0,43,75,1.03,UZ,1615115374
Freetown,8.484,-13.2299,26.0,78,75,2.06,SL,1615115375
Egvekinot,66.3167,-179.1667,-24.51,92,84,6.33,RU,1615115375
Teya,60.3778,92.6267,-5.8,93,100,4.44,RU,1615115375
Murud,18.3258,72.965,31.33,35,0,6.81,IN,1615115375
Inhambane,-23.865,35.3833,30.0,54,40,6.17,MZ,1615115375
Coria,39.9879,-6.5377,13.89,72,14,1.34,ES,1615115376
Berdyaush,55.1619,59.1464,-9.55,92,100,3.24,RU,1615115376
Emerald,-23.5333,148.1667,26.0,61,75,6.69,AU,1615115376
Yārāda,17.65,83.2667,30.0,66,0,4.12,IN,1615115376
Atagay,55.1033,99.3875,-0.35,97,100,3.18,RU,1615115377
Plouzané,48.3833,-4.6167,7.0,70,90,5.66,FR,1615115377
Örnsköldsvik,63.2909,18.7153,-1.0,55,74,9.26,SE,1615115377
Necochea,-38.5473,-58.7368,17.22,77,0,5.81,AR,1615115378
Murgab,37.4966,61.9714,16.0,44,0,5.14,TM,1615115378
Deputatsky,69.3,139.9,-29.26,85,100,5.26,RU,1615115378
Makat,47.6469,53.3463,-0.64,91,100,9.59,KZ,1615115379
Bereda,43.2686,-7.5406,9.44,83,70,6.71,ES,1615115379
Porlamar,10.958,-63.8491,24.88,84,49,7.29,VE,1615115379
Sargatskoye,55.6101,73.4972,-7.67,96,90,3.54,RU,1615115379
Oxford,51.7522,-1.256,5.56,52,75,1.54,GB,1615115380
Hanzhong,33.0728,107.0303,13.36,52,100,0.63,CN,1615115380
Kalāleh,37.3807,55.4916,23.0,31,0,5.14,IR,1615115380
Guadalupe,25.6833,-100.25,13.0,71,1,3.0,MX,1615115380
Cuenca,-2.8833,-78.9833,11.86,81,95,1.2,EC,1615115381
Te Anau,-45.4167,167.7167,6.36,80,61,0.73,NZ,1615115381
Øksfjord,70.2396,22.3479,-1.67,64,75,9.77,NO,1615115381
Nuevo Progreso,23.1667,-97.95,15.56,68,65,0.89,MX,1615115381
Taphan Hin,16.2209,100.4198,36.0,41,0,1.54,TH,1615115382
Kuala Terengganu,5.3302,103.1408,30.0,66,20,2.06,MY,1615115382
Tabas,33.5959,56.9244,20.0,22,0,1.04,IR,1615115382
Stryn,61.9045,6.7226,-3.33,93,92,0.45,NO,1615115382
Lakes Entrance,-37.8811,147.981,18.33,76,99,1.12,AU,1615115383
Dubrovytsya,51.5744,26.565,3.02,77,100,10.33,UA,1615115383
Nurota,40.5614,65.6886,6.0,81,90,4.12,UZ,1615115383
Raudeberg,61.9875,5.1352,2.78,55,40,1.54,NO,1615115383
Konstantinovka,49.6167,127.9833,-14.46,93,47,1.28,RU,1615115384
Livny,52.4253,37.6069,-2.34,94,100,11.05,RU,1615115384
Awjilah,29.1081,21.2869,27.29,16,0,4.18,LY,1615115384
Gunnedah,-30.9833,150.25,25.56,50,52,3.04,AU,1615115384
Kudahuvadhoo,2.6708,72.8944,28.69,69,15,4.75,MV,1615115385
Qasigiannguit,68.8193,-51.1922,-6.0,79,90,4.63,GL,1615115385
Isabela,6.7085,121.9711,28.0,69,40,2.06,PH,1615115385
Bilibino,68.0546,166.4372,-32.07,83,100,1.03,RU,1615115386
Ventspils,57.3894,21.5606,2.0,55,40,8.75,LV,1615115386
Caculé,-14.5033,-42.2222,25.01,62,20,0.95,BR,1615115386
Tamandaré,-8.7597,-35.1047,27.58,67,43,2.68,BR,1615115386
Pangai,-19.8,-174.35,27.19,85,100,3.62,TO,1615115387
Kenai,60.5544,-151.2583,-8.33,92,20,1.54,US,1615115387
Boppard,50.2308,7.5899,6.67,54,0,1.1,DE,1615115388
Marrakesh,31.6315,-8.0083,14.0,82,75,1.03,MA,1615115150
Mehamn,71.0357,27.8492,-2.97,93,52,5.77,NO,1615115388
Tartagal,-22.5164,-63.8013,20.81,76,17,1.05,AR,1615115388
Skibbereen,51.55,-9.2667,5.0,70,40,3.09,IE,1615115388
Sal Rei,16.1833,-22.9167,22.0,68,75,11.83,CV,1615115389
Noshiro,40.2039,140.0242,-3.0,74,20,2.57,JP,1615115389
North Platte,41.1239,-100.7654,6.0,56,1,3.09,US,1615115389
Namatanai,-3.6667,152.4333,26.48,79,100,1.57,PG,1615115389
Rincon,32.296,-81.2354,3.0,87,1,3.09,US,1615115390
Gari,59.4307,62.3497,-10.66,92,66,1.42,RU,1615115390
Kapchorwa,1.3965,34.4509,29.8,23,28,2.19,UG,1615115390
Fort Nelson,58.8053,-122.7002,-9.0,86,1,1.03,CA,1615115390
Cadillac,44.2519,-85.4012,-15.0,92,1,0.97,US,1615115391
Alpena,45.0617,-83.4327,-11.67,85,1,2.61,US,1615115391
Sola,-13.8833,167.55,27.18,77,100,2.91,VU,1615115392
Ambulu,-8.345,113.6058,26.04,83,88,1.54,ID,1615115392
Kapit,2.0167,112.9333,25.06,94,70,1.1,MY,1615115392
Tabou,4.423,-7.3528,29.39,71,72,2.73,CI,1615115392
Fernie,49.5,-115.0687,1.0,86,100,3.09,CA,1615115190
Nishihara,26.1842,127.7558,21.0,83,75,3.09,JP,1615115393
Lalibela,12.0333,39.0333,25.01,22,0,2.24,ET,1615115393
Shakiso,5.75,38.9167,30.55,13,100,3.5,ET,1615115393
Amazar,53.858,120.875,-14.04,92,66,1.51,RU,1615115394
Ladário,-19.0047,-57.6017,26.0,89,0,0.61,BR,1615115106
Pozoblanco,38.3791,-4.8483,14.0,88,20,1.54,ES,1615115394
Paso del Macho,18.9667,-96.7167,22.22,45,99,4.02,MX,1615115394
St. George's,12.0564,-61.7485,26.0,83,20,7.72,GD,1615115395
College,64.8569,-147.8028,-14.44,77,75,1.16,US,1615115395
Chino Valley,34.7575,-112.4538,4.44,52,1,4.63,US,1615115395
Izumo,35.3667,132.7667,7.0,70,75,6.17,JP,1615115395
Phrae,18.0833,100.0,36.0,32,20,3.09,TH,1615115180
Krasnaya Gora,52.9995,31.6023,2.0,60,75,12.0,RU,1615115396
